Fixed Point: 42504250425042504250425042504250 | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: e050e050e050e050e050e050e050e050 | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: f885fe50f885fe50f885fe50f885fe50 | Rounds: 38 | Key: 88888888888888888888888888888888
Fixed Point: 324f8351324f8351324f8351324f8351 | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: 3efda7523efda7523efda7523efda752 | Rounds: 38 | Key: 88888888888888888888888888888888
Fixed Point: 54545454545454545454545454545454 | Rounds: 24 | Key: 88888888888888888888888888888888
Fixed Point: 75098554750985547509855475098554 | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: 3acec8543acec8543acec8543acec854 | Rounds: 38 | Key: 88888888888888888888888888888888
Fixed Point: 55555555555555555555555555555555 | Rounds: 24 | Key: 88888888888888888888888888888888
Fixed Point: 99559955995599559955995599559955 | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: c5182b56c5182b56c5182b56c5182b56 | Rounds: 38 | Key: 88888888888888888888888888888888
Fixed Point: f1e34157f1e34157f1e34157f1e34157 | Rounds: 38 | Key: 88888888888888888888888888888888
Fixed Point: 76d64d5776d64d5776d64d5776d64d57 | Rounds: 38 | Key: 88888888888888888888888888888888
Fixed Point: 57575757575757575757575757575757 | Rounds: 41 | Key: 88888888888888888888888888888888
Fixed Point: d2b6f857d2b6f857d2b6f857d2b6f857 | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: 255a255a255a255a255a255a255a255a | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: 5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a | Rounds: 14 | Key: 88888888888888888888888888888888
Fixed Point: 5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b | Rounds: 41 | Key: 88888888888888888888888888888888
Fixed Point: 025c025c025c025c025c025c025c025c | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: 5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c | Rounds: 41 | Key: 88888888888888888888888888888888
Fixed Point: 73d6b25c73d6b25c73d6b25c73d6b25c | Rounds: 38 | Key: 88888888888888888888888888888888
Fixed Point: 5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d | Rounds: 14 | Key: 88888888888888888888888888888888
Fixed Point: b76fed5db76fed5db76fed5db76fed5d | Rounds: 2 | Key: 88888888888888888888888888888888
Fixed Point: 5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e | Rounds: 24 | Key: 88888888888888888888888888888888
Fixed Point: 93f7795f93f7795f93f7795f93f7795f | Rounds: 36 | Key: 88888888888888888888888888888888
Fixed Point: d636945fd636945fd636945fd636945f | Rounds: 20 | Key: 88888888888888888888888888888888
Fixed Point: 9749cc619749cc619749cc619749cc61 | Rounds: 38 | Key: 88888888888888888888888888888888
Fixed Point: 62626262626262626262626262626262 | Rounds: 24 | Key: 88888888888888888888888888888888
Fixed Point: 41227663412276634122766341227663 | Rounds: 38 | Key: 88888888888888888888888888888888
Fixed Point: 46843c6446843c6446843c6446843c64 | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: 80648064806480648064806480648064 | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: 95649564956495649564956495649564 | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: e7ef4266e7ef4266e7ef4266e7ef4266 | Rounds: 20 | Key: 88888888888888888888888888888888
Fixed Point: 66666666666666666666666666666666 | Rounds: 24 | Key: 88888888888888888888888888888888
Fixed Point: ca2bc566ca2bc566ca2bc566ca2bc566 | Rounds: 40 | Key: 88888888888888888888888888888888
Fixed Point: b7f37f67b7f37f67b7f37f67b7f37f67 | Rounds: 36 | Key: 88888888888888888888888888888888
Fixed Point: 68686868686868686868686868686868 | Rounds: 41 | Key: 88888888888888888888888888888888
Fixed Point: 0d6a0d6a0d6a0d6a0d6a0d6a0d6a0d6a | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: 4487be6a4487be6a4487be6a4487be6a | Rounds: 38 | Key: 88888888888888888888888888888888
Fixed Point: f47b326bf47b326bf47b326bf47b326b | Rounds: 12 | Key: 88888888888888888888888888888888
Fixed Point: c2081f6cc2081f6cc2081f6cc2081f6c | Rounds: 38 | Key: 88888888888888888888888888888888
Fixed Point: 1b8a246c1b8a246c1b8a246c1b8a246c | Rounds: 20 | Key: 88888888888888888888888888888888
Fixed Point: 6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d | Rounds: 24 | Key: 88888888888888888888888888888888
Fixed Point: 6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e | Rounds: 8 | Key: 88888888888888888888888888888888
Fixed Point: dd91a96edd91a96edd91a96edd91a96e | Rounds: 36 | Key: 88888888888888888888888888888888
Fixed Point: a86fa86fa86fa86fa86fa86fa86fa86f | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: ed5db76fed5db76fed5db76fed5db76f | Rounds: 2 | Key: 88888888888888888888888888888888
Fixed Point: d1aed26fd1aed26fd1aed26fd1aed26f | Rounds: 12 | Key: 88888888888888888888888888888888
Fixed Point: 19701970197019701970197019701970 | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: 82718271827182718271827182718271 | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: 92719271927192719271927192719271 | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: 9a08e7729a08e7729a08e7729a08e772 | Rounds: 36 | Key: 88888888888888888888888888888888
Fixed Point: 07730773077307730773077307730773 | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: d6b25c73d6b25c73d6b25c73d6b25c73 | Rounds: 38 | Key: 88888888888888888888888888888888
Fixed Point: 74747474747474747474747474747474 | Rounds: 24 | Key: 88888888888888888888888888888888
Fixed Point: 9d749d749d749d749d749d749d749d74 | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: 09855475098554750985547509855475 | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: 2b9ddd752b9ddd752b9ddd752b9ddd75 | Rounds: 20 | Key: 88888888888888888888888888888888
Fixed Point: 63412276634122766341227663412276 | Rounds: 38 | Key: 88888888888888888888888888888888
Fixed Point: d64d5776d64d5776d64d5776d64d5776 | Rounds: 38 | Key: 88888888888888888888888888888888
Fixed Point: 7d767d767d767d767d767d767d767d76 | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: db381f77db381f77db381f77db381f77 | Rounds: 36 | Key: 88888888888888888888888888888888
Fixed Point: 77777777777777777777777777777777 | Rounds: 2 | Key: 88888888888888888888888888888888
Fixed Point: 78787878787878787878787878787878 | Rounds: 8 | Key: 88888888888888888888888888888888
Fixed Point: 21792179217921792179217921792179 | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: c6c14079c6c14079c6c14079c6c14079 | Rounds: 38 | Key: 88888888888888888888888888888888
Fixed Point: 5f93f7795f93f7795f93f7795f93f779 | Rounds: 36 | Key: 88888888888888888888888888888888
Fixed Point: 7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b | Rounds: 41 | Key: 88888888888888888888888888888888
Fixed Point: 326bf47b326bf47b326bf47b326bf47b | Rounds: 12 | Key: 88888888888888888888888888888888
Fixed Point: 767d767d767d767d767d767d767d767d | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: 7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d | Rounds: 2 | Key: 88888888888888888888888888888888
Fixed Point: 7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e | Rounds: 41 | Key: 88888888888888888888888888888888
Fixed Point: a8fdbe7ea8fdbe7ea8fdbe7ea8fdbe7e | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: 154d0d7f154d0d7f154d0d7f154d0d7f | Rounds: 38 | Key: 88888888888888888888888888888888
Fixed Point: 7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f | Rounds: 14 | Key: 88888888888888888888888888888888
Fixed Point: 67b7f37f67b7f37f67b7f37f67b7f37f | Rounds: 36 | Key: 88888888888888888888888888888888
Fixed Point: 64806480648064806480648064806480 | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: 81818181818181818181818181818181 | Rounds: 41 | Key: 88888888888888888888888888888888
Fixed Point: d307a681d307a681d307a681d307a681 | Rounds: 36 | Key: 88888888888888888888888888888888
Fixed Point: 0a820a820a820a820a820a820a820a82 | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: c2104e82c2104e82c2104e82c2104e82 | Rounds: 20 | Key: 88888888888888888888888888888888
Fixed Point: 71827182718271827182718271827182 | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: 90cf428390cf428390cf428390cf4283 | Rounds: 38 | Key: 88888888888888888888888888888888
Fixed Point: 51324f8351324f8351324f8351324f83 | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: 3c6446843c6446843c6446843c644684 | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: 84848484848484848484848484848484 | Rounds: 41 | Key: 88888888888888888888888888888888
Fixed Point: 54750985547509855475098554750985 | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: b885b885b885b885b885b885b885b885 | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: fe50f885fe50f885fe50f885fe50f885 | Rounds: 38 | Key: 88888888888888888888888888888888
Fixed Point: 86868686868686868686868686868686 | Rounds: 41 | Key: 88888888888888888888888888888888
Fixed Point: be6a4487be6a4487be6a4487be6a4487 | Rounds: 38 | Key: 88888888888888888888888888888888
Fixed Point: 89898989898989898989898989898989 | Rounds: 41 | Key: 88888888888888888888888888888888
Fixed Point: 246c1b8a246c1b8a246c1b8a246c1b8a | Rounds: 20 | Key: 88888888888888888888888888888888
Fixed Point: 29d1c58a29d1c58a29d1c58a29d1c58a | Rounds: 20 | Key: 88888888888888888888888888888888
Fixed Point: 01acea8a01acea8a01acea8a01acea8a | Rounds: 36 | Key: 88888888888888888888888888888888
Fixed Point: 8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b | Rounds: 14 | Key: 88888888888888888888888888888888
Fixed Point: 948b948b948b948b948b948b948b948b | Rounds: 1 | Key: 88888888888888888888888888888888
Fixed Point: 1f20028c1f20028c1f20028c1f20028c | Rounds: 40 | Key: 88888888888888888888888888888888
Fixed Point: 8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d | Rounds: 14 | Key: 88888888888888888888888888888888
Fixed Point: ae93b68dae93b68dae93b68dae93b68d | Rounds: 40 | Key: 88888888888888888888888888888888
Fixed Point: 8e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8e | Rounds: 41 | Key: 88888888888888888888888888888888
Fixed Point: f88ef88ef88ef88ef88ef88ef88ef88e | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: cf428390cf428390cf428390cf428390 | Rounds: 38 | Key: 88888888888888888888888888888888
Fixed Point: 90909090909090909090909090909090 | Rounds: 8 | Key: 88888888888888888888888888888888
Fixed Point: 91919191919191919191919191919191 | Rounds: 41 | Key: 88888888888888888888888888888888
Fixed Point: a96edd91a96edd91a96edd91a96edd91 | Rounds: 36 | Key: 88888888888888888888888888888888
Fixed Point: 71927192719271927192719271927192 | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: f7795f93f7795f93f7795f93f7795f93 | Rounds: 36 | Key: 88888888888888888888888888888888
Fixed Point: 93939393939393939393939393939393 | Rounds: 24 | Key: 88888888888888888888888888888888
Fixed Point: b68dae93b68dae93b68dae93b68dae93 | Rounds: 40 | Key: 88888888888888888888888888888888
Fixed Point: d993d993d993d993d993d993d993d993 | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: 5fd636945fd636945fd636945fd63694 | Rounds: 20 | Key: 88888888888888888888888888888888
Fixed Point: 8b948b948b948b948b948b948b948b94 | Rounds: 1 | Key: 88888888888888888888888888888888
Fixed Point: 94949494949494949494949494949494 | Rounds: 14 | Key: 88888888888888888888888888888888
Fixed Point: 41e21d9541e21d9541e21d9541e21d95 | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: 64956495649564956495649564956495 | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: 49cc619749cc619749cc619749cc6197 | Rounds: 38 | Key: 88888888888888888888888888888888
Fixed Point: 3740cb973740cb973740cb973740cb97 | Rounds: 40 | Key: 88888888888888888888888888888888
Fixed Point: b398b398b398b398b398b398b398b398 | Rounds: 1 | Key: 88888888888888888888888888888888
Fixed Point: 55995599559955995599559955995599 | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: 99999999999999999999999999999999 | Rounds: 24 | Key: 88888888888888888888888888888888
Fixed Point: 08e7729a08e7729a08e7729a08e7729a | Rounds: 36 | Key: 88888888888888888888888888888888
Fixed Point: dd752b9ddd752b9ddd752b9ddd752b9d | Rounds: 20 | Key: 88888888888888888888888888888888
Fixed Point: 25a5469d25a5469d25a5469d25a5469d | Rounds: 4 | Key: 88888888888888888888888888888888
Fixed Point: 749d749d749d749d749d749d749d749d | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: 9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d | Rounds: 41 | Key: 88888888888888888888888888888888
Fixed Point: f49ef49ef49ef49ef49ef49ef49ef49e | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: 259f259f259f259f259f259f259f259f | Rounds: 28 | Key: 88888888888888888888888888888888
Fixed Point: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0 | Rounds: 41 | Key: 88888888888888888888888888888888
Fixed Point: cfa7c5a1cfa7c5a1cfa7c5a1cfa7c5a1 | Rounds: 36 | Key: 88888888888888888888888888888888
