Fixed Point: 67676767676767676767676767676767 | Rounds: 21 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 75d4736775d4736775d4736775d47367 | Rounds: 18 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: ab67ab67ab67ab67ab67ab67ab67ab67 | Rounds: 30 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: f6b56668f6b56668f6b56668f6b56668 | Rounds: 18 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 39693969396939693969396939693969 | Rounds: 30 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 6a6a6a6a6a6a6a6a6a6a6a6a6a6a6a6a | Rounds: 21 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 296c296c296c296c296c296c296c296c | Rounds: 3 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 176d176d176d176d176d176d176d176d | Rounds: 30 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 56d9656d56d9656d56d9656d56d9656d | Rounds: 15 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 206f206f206f206f206f206f206f206f | Rounds: 30 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 886f886f886f886f886f886f886f886f | Rounds: 30 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 1e8f63701e8f63701e8f63701e8f6370 | Rounds: 15 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 4e3be6724e3be6724e3be6724e3be672 | Rounds: 18 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 99739973997399739973997399739973 | Rounds: 30 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 6775d4736775d4736775d4736775d473 | Rounds: 18 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: e1d24575e1d24575e1d24575e1d24575 | Rounds: 18 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: d4736775d4736775d4736775d4736775 | Rounds: 18 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 03760376037603760376037603760376 | Rounds: 30 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 534a5179534a5179534a5179534a5179 | Rounds: 15 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 8c798c798c798c798c798c798c798c79 | Rounds: 3 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 8d798d798d798d798d798d798d798d79 | Rounds: 22 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: f531047ef531047ef531047ef531047e | Rounds: 18 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 3731c9803731c9803731c9803731c980 | Rounds: 18 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: be81be81be81be81be81be81be81be81 | Rounds: 22 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 108fe882108fe882108fe882108fe882 | Rounds: 15 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 1f5c9b841f5c9b841f5c9b841f5c9b84 | Rounds: 15 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 3a89e1843a89e1843a89e1843a89e184 | Rounds: 15 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 2e862e862e862e862e862e862e862e86 | Rounds: 30 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 6f886f886f886f886f886f886f886f88 | Rounds: 30 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: e1843a89e1843a89e1843a89e1843a89 | Rounds: 15 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: a489a489a489a489a489a489a489a489 | Rounds: 30 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 298b298b298b298b298b298b298b298b | Rounds: 22 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 798c798c798c798c798c798c798c798c | Rounds: 3 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: e68ce68ce68ce68ce68ce68ce68ce68c | Rounds: 30 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 798d798d798d798d798d798d798d798d | Rounds: 22 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: e882108fe882108fe882108fe882108f | Rounds: 15 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 63701e8f63701e8f63701e8f63701e8f | Rounds: 15 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 8f8f8f8f8f8f8f8f8f8f8f8f8f8f8f8f | Rounds: 21 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 424dd692424dd692424dd692424dd692 | Rounds: 4 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 94949494949494949494949494949494 | Rounds: 21 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: f495f495f495f495f495f495f495f495 | Rounds: 30 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 41f5a29641f5a29641f5a29641f5a296 | Rounds: 15 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: fef05799fef05799fef05799fef05799 | Rounds: 15 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 73997399739973997399739973997399 | Rounds: 30 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 841f5c9b841f5c9b841f5c9b841f5c9b | Rounds: 15 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 63d6ef9b63d6ef9b63d6ef9b63d6ef9b | Rounds: 15 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: b22bda9cb22bda9cb22bda9cb22bda9c | Rounds: 18 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 239e239e239e239e239e239e239e239e | Rounds: 30 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: dc122b9edc122b9edc122b9edc122b9e | Rounds: 18 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 5e5262a15e5262a15e5262a15e5262a1 | Rounds: 15 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 9641f5a29641f5a29641f5a29641f5a2 | Rounds: 15 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 48a348a348a348a348a348a348a348a3 | Rounds: 22 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 89a489a489a489a489a489a489a489a4 | Rounds: 30 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 37a837a837a837a837a837a837a837a8 | Rounds: 9 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: c4a8c4a8c4a8c4a8c4a8c4a8c4a8c4a8 | Rounds: 30 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9 | Rounds: 21 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
