Fixed Point: 08a608a608a608a608a608a608a608a6 | Rounds: 2 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 1ba61ba61ba61ba61ba61ba61ba61ba6 | Rounds: 26 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 33a633a633a633a633a633a633a633a6 | Rounds: 38 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: c2a7c2a7c2a7c2a7c2a7c2a7c2a7c2a7 | Rounds: 26 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: e0a8e0a8e0a8e0a8e0a8e0a8e0a8e0a8 | Rounds: 38 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: c0a9c0a9c0a9c0a9c0a9c0a9c0a9c0a9 | Rounds: 1 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: cca9cca9cca9cca9cca9cca9cca9cca9 | Rounds: 38 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 9aacfea99aacfea99aacfea99aacfea9 | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: fea99aacfea99aacfea99aacfea99aac | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: acacacacacacacacacacacacacacacac | Rounds: 6 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 17b2b2ac17b2b2ac17b2b2ac17b2b2ac | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 04af04af04af04af04af04af04af04af | Rounds: 38 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: afafafafafafafafafafafafafafafaf | Rounds: 4 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: a4b0a4b0a4b0a4b0a4b0a4b0a4b0a4b0 | Rounds: 2 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: b2ac17b2b2ac17b2b2ac17b2b2ac17b2 | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: ac17b2b2ac17b2b2ac17b2b2ac17b2b2 | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 4833c1b34833c1b34833c1b34833c1b3 | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 40b740b740b740b740b740b740b740b7 | Rounds: 10 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: b98ea2b7b98ea2b7b98ea2b7b98ea2b7 | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 2bb82bb82bb82bb82bb82bb82bb82bb8 | Rounds: 10 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 88656ab888656ab888656ab888656ab8 | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 8ea2b7b98ea2b7b98ea2b7b98ea2b7b9 | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: 3077e2b93077e2b93077e2b93077e2b9 | Rounds: 15 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: babababababababababababababababa | Rounds: 6 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
Fixed Point: debbdebbdebbdebbdebbdebbdebbdebb | Rounds: 10 | Key: a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
