Fixed Point: 3ee0fa813ee0fa813ee0fa813ee0fa81 | Rounds: 28 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: aded4582aded4582aded4582aded4582 | Rounds: 28 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 83838383838383838383838383838383 | Rounds: 47 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: cef6f983cef6f983cef6f983cef6f983 | Rounds: 28 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 991b2184991b2184991b2184991b2184 | Rounds: 28 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 84848484848484848484848484848484 | Rounds: 47 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 41864186418641864186418641864186 | Rounds: 38 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 649dcc86649dcc86649dcc86649dcc86 | Rounds: 9 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 17366887173668871736688717366887 | Rounds: 28 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 15881588158815881588158815881588 | Rounds: 18 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: d389d389d389d389d389d389d389d389 | Rounds: 18 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 288a288a288a288a288a288a288a288a | Rounds: 24 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a | Rounds: 47 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b | Rounds: 6 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 718c718c718c718c718c718c718c718c | Rounds: 38 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
