Fixed Point: 9aa55d019aa55d019aa55d019aa55d01 | Rounds: 11 | Key: 61616161616161616161616161616161
Fixed Point: ba02ba02ba02ba02ba02ba02ba02ba02 | Rounds: 14 | Key: 61616161616161616161616161616161
Fixed Point: 04040404040404040404040404040404 | Rounds: 33 | Key: 61616161616161616161616161616161
Fixed Point: 0c070c070c070c070c070c070c070c07 | Rounds: 28 | Key: 61616161616161616161616161616161
Fixed Point: 09090909090909090909090909090909 | Rounds: 17 | Key: 61616161616161616161616161616161
Fixed Point: 98f4fd0a98f4fd0a98f4fd0a98f4fd0a | Rounds: 31 | Key: 61616161616161616161616161616161
Fixed Point: 070c070c070c070c070c070c070c070c | Rounds: 28 | Key: 61616161616161616161616161616161
Fixed Point: 440d440d440d440d440d440d440d440d | Rounds: 10 | Key: 61616161616161616161616161616161
Fixed Point: bccc2b0fbccc2b0fbccc2b0fbccc2b0f | Rounds: 34 | Key: 61616161616161616161616161616161
Fixed Point: b711b711b711b711b711b711b711b711 | Rounds: 20 | Key: 61616161616161616161616161616161
Fixed Point: 12121212121212121212121212121212 | Rounds: 18 | Key: 61616161616161616161616161616161
Fixed Point: 14141414141414141414141414141414 | Rounds: 27 | Key: 61616161616161616161616161616161
Fixed Point: 86168616861686168616861686168616 | Rounds: 28 | Key: 61616161616161616161616161616161
Fixed Point: 1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a | Rounds: 35 | Key: 61616161616161616161616161616161
Fixed Point: d2d4231bd2d4231bd2d4231bd2d4231b | Rounds: 24 | Key: 61616161616161616161616161616161
Fixed Point: c136931bc136931bc136931bc136931b | Rounds: 28 | Key: 61616161616161616161616161616161
Fixed Point: 1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d | Rounds: 11 | Key: 61616161616161616161616161616161
Fixed Point: fb1efb1efb1efb1efb1efb1efb1efb1e | Rounds: 50 | Key: 61616161616161616161616161616161
Fixed Point: 1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f | Rounds: 40 | Key: 61616161616161616161616161616161
Fixed Point: 20202020202020202020202020202020 | Rounds: 4 | Key: 61616161616161616161616161616161
Fixed Point: ca23ca23ca23ca23ca23ca23ca23ca23 | Rounds: 48 | Key: 61616161616161616161616161616161
Fixed Point: 1bd2d4231bd2d4231bd2d4231bd2d423 | Rounds: 24 | Key: 61616161616161616161616161616161
Fixed Point: 24242424242424242424242424242424 | Rounds: 49 | Key: 61616161616161616161616161616161
Fixed Point: a825a825a825a825a825a825a825a825 | Rounds: 50 | Key: 61616161616161616161616161616161
Fixed Point: 2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b | Rounds: 34 | Key: 61616161616161616161616161616161
Fixed Point: 6494842b6494842b6494842b6494842b | Rounds: 46 | Key: 61616161616161616161616161616161
Fixed Point: 0fbccc2b0fbccc2b0fbccc2b0fbccc2b | Rounds: 34 | Key: 61616161616161616161616161616161
Fixed Point: e470a42ee470a42ee470a42ee470a42e | Rounds: 6 | Key: 61616161616161616161616161616161
Fixed Point: ad2fad2fad2fad2fad2fad2fad2fad2f | Rounds: 48 | Key: 61616161616161616161616161616161
Fixed Point: 30303030303030303030303030303030 | Rounds: 44 | Key: 61616161616161616161616161616161
Fixed Point: 8a66f8328a66f8328a66f8328a66f832 | Rounds: 23 | Key: 61616161616161616161616161616161
Fixed Point: 33333333333333333333333333333333 | Rounds: 24 | Key: 61616161616161616161616161616161
Fixed Point: 931bc136931bc136931bc136931bc136 | Rounds: 28 | Key: 61616161616161616161616161616161
Fixed Point: 6b3b6b3b6b3b6b3b6b3b6b3b6b3b6b3b | Rounds: 17 | Key: 61616161616161616161616161616161
