Fixed Point: 37373737373737373737373737373737 | Rounds: 8 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 94389438943894389438943894389438 | Rounds: 14 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 0a3b0a3b0a3b0a3b0a3b0a3b0a3b0a3b | Rounds: 30 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b | Rounds: 10 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 1146413d1146413d1146413d1146413d | Rounds: 8 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f | Rounds: 38 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 3d1146413d1146413d1146413d114641 | Rounds: 8 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 44444444444444444444444444444444 | Rounds: 22 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 45454545454545454545454545454545 | Rounds: 12 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 413d1146413d1146413d1146413d1146 | Rounds: 8 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 94b19c4794b19c4794b19c4794b19c47 | Rounds: 22 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: b8b10948b8b10948b8b10948b8b10948 | Rounds: 25 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 48484848484848484848484848484848 | Rounds: 3 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: f048f048f048f048f048f048f048f048 | Rounds: 26 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: fe636f4afe636f4afe636f4afe636f4a | Rounds: 24 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 2726bd4e2726bd4e2726bd4e2726bd4e | Rounds: 32 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 51515151515151515151515151515151 | Rounds: 22 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 55555555555555555555555555555555 | Rounds: 41 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: e7da3356e7da3356e7da3356e7da3356 | Rounds: 7 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 57575757575757575757575757575757 | Rounds: 14 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: cf2faa57cf2faa57cf2faa57cf2faa57 | Rounds: 2 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: e1cf7d5de1cf7d5de1cf7d5de1cf7d5d | Rounds: 8 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: a25fa25fa25fa25fa25fa25fa25fa25f | Rounds: 19 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 24612461246124612461246124612461 | Rounds: 28 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 037fab62037fab62037fab62037fab62 | Rounds: 30 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 6f4afe636f4afe636f4afe636f4afe63 | Rounds: 24 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 04d3ab6604d3ab6604d3ab6604d3ab66 | Rounds: 31 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 4afe636f4afe636f4afe636f4afe636f | Rounds: 24 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: c1d4876fc1d4876fc1d4876fc1d4876f | Rounds: 45 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 76767676767676767676767676767676 | Rounds: 40 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 32783278327832783278327832783278 | Rounds: 41 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 1429c5781429c5781429c5781429c578 | Rounds: 30 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 147a147a147a147a147a147a147a147a | Rounds: 35 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 157c157c157c157c157c157c157c157c | Rounds: 39 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 5de1cf7d5de1cf7d5de1cf7d5de1cf7d | Rounds: 8 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: 7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e | Rounds: 37 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
Fixed Point: ab62037fab62037fab62037fab62037f | Rounds: 30 | Key: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
