Fixed Point: 46a32f5346a32f5346a32f5346a32f53 | Rounds: 39 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 0bed9c530bed9c530bed9c530bed9c53 | Rounds: 36 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 54545454545454545454545454545454 | Rounds: 10 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: e542fe54e542fe54e542fe54e542fe54 | Rounds: 36 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: f9787255f9787255f9787255f9787255 | Rounds: 39 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: f45ad355f45ad355f45ad355f45ad355 | Rounds: 39 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 56565656565656565656565656565656 | Rounds: 43 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 57575757575757575757575757575757 | Rounds: 43 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: a5393a58a5393a58a5393a58a5393a58 | Rounds: 4 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 58585858585858585858585858585858 | Rounds: 43 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 7dc8f3587dc8f3587dc8f3587dc8f358 | Rounds: 36 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 59595959595959595959595959595959 | Rounds: 29 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a | Rounds: 43 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: c248a05ac248a05ac248a05ac248a05a | Rounds: 36 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: d355f45ad355f45ad355f45ad355f45a | Rounds: 39 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: d543135cd543135cd543135cd543135c | Rounds: 8 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: c5bdd95cc5bdd95cc5bdd95cc5bdd95c | Rounds: 39 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 06f0155d06f0155d06f0155d06f0155d | Rounds: 39 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 7924685d7924685d7924685d7924685d | Rounds: 39 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 31e1b85d31e1b85d31e1b85d31e1b85d | Rounds: 39 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e | Rounds: 35 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 0b8e755e0b8e755e0b8e755e0b8e755e | Rounds: 36 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 8b497d5e8b497d5e8b497d5e8b497d5e | Rounds: 39 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 2000365f2000365f2000365f2000365f | Rounds: 36 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: c3620460c3620460c3620460c3620460 | Rounds: 39 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 61616161616161616161616161616161 | Rounds: 43 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: a5051b62a5051b62a5051b62a5051b62 | Rounds: 39 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 62626262626262626262626262626262 | Rounds: 29 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 6cff69626cff69626cff69626cff6962 | Rounds: 39 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 491d8162491d8162491d8162491d8162 | Rounds: 8 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: d277a862d277a862d277a862d277a862 | Rounds: 39 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 0460c3620460c3620460c3620460c362 | Rounds: 39 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: e762e762e762e762e762e762e762e762 | Rounds: 6 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 63636363636363636363636363636363 | Rounds: 35 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 64646464646464646464646464646464 | Rounds: 16 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 65656565656565656565656565656565 | Rounds: 35 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 7f74c4677f74c4677f74c4677f74c467 | Rounds: 39 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
