Fixed Point: f7a3f2b8f7a3f2b8f7a3f2b8f7a3f2b8 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 26e6adb926e6adb926e6adb926e6adb9 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 9ed4b1b99ed4b1b99ed4b1b99ed4b1b9 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 77a927ba77a927ba77a927ba77a927ba | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 6121c1ba6121c1ba6121c1ba6121c1ba | Rounds: 40 | Key: 50505050505050505050505050505050
Fixed Point: 06424cbc06424cbc06424cbc06424cbc | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 469f22be469f22be469f22be469f22be | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 4c2a7dbf4c2a7dbf4c2a7dbf4c2a7dbf | Rounds: 40 | Key: 50505050505050505050505050505050
Fixed Point: d06c1cc0d06c1cc0d06c1cc0d06c1cc0 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 8fb37bc08fb37bc08fb37bc08fb37bc0 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: ba6121c1ba6121c1ba6121c1ba6121c1 | Rounds: 40 | Key: 50505050505050505050505050505050
Fixed Point: f75430c5f75430c5f75430c5f75430c5 | Rounds: 12 | Key: 50505050505050505050505050505050
Fixed Point: 037e08c6037e08c6037e08c6037e08c6 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 08e9dcc708e9dcc708e9dcc708e9dcc7 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 452252ca452252ca452252ca452252ca | Rounds: 14 | Key: 50505050505050505050505050505050
Fixed Point: f04910cbf04910cbf04910cbf04910cb | Rounds: 4 | Key: 50505050505050505050505050505050
Fixed Point: e706adcde706adcde706adcde706adcd | Rounds: 12 | Key: 50505050505050505050505050505050
Fixed Point: 8bee98ce8bee98ce8bee98ce8bee98ce | Rounds: 37 | Key: 50505050505050505050505050505050
