Fixed Point: 5f725f725f725f725f725f725f725f72 | Rounds: 49 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 72727272727272727272727272727272 | Rounds: 9 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: f3611874f3611874f3611874f3611874 | Rounds: 8 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 76767676767676767676767676767676 | Rounds: 46 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 79797979797979797979797979797979 | Rounds: 18 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 8590a27b8590a27b8590a27b8590a27b | Rounds: 8 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c | Rounds: 13 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 537e537e537e537e537e537e537e537e | Rounds: 47 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 53805380538053805380538053805380 | Rounds: 48 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 5b805b805b805b805b805b805b805b80 | Rounds: 2 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: f180f180f180f180f180f180f180f180 | Rounds: 46 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 90a27b8590a27b8590a27b8590a27b85 | Rounds: 8 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: f293f988f293f988f293f988f293f988 | Rounds: 48 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 5b895b895b895b895b895b895b895b89 | Rounds: 7 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 6e8a6e8a6e8a6e8a6e8a6e8a6e8a6e8a | Rounds: 44 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 0b8b0b8b0b8b0b8b0b8b0b8b0b8b0b8b | Rounds: 16 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 1d8b1d8b1d8b1d8b1d8b1d8b1d8b1d8b | Rounds: 24 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 428e428e428e428e428e428e428e428e | Rounds: 23 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 135f6290135f6290135f6290135f6290 | Rounds: 21 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: a27b8590a27b8590a27b8590a27b8590 | Rounds: 8 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: d790d790d790d790d790d790d790d790 | Rounds: 19 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: b891b891b891b891b891b891b891b891 | Rounds: 8 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: f988f293f988f293f988f293f988f293 | Rounds: 48 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 97979797979797979797979797979797 | Rounds: 26 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 98989898989898989898989898989898 | Rounds: 14 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 60996099609960996099609960996099 | Rounds: 8 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
