Fixed Point: 1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a | Rounds: 22 | Key: 21212121212121212121212121212121
Fixed Point: 1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f | Rounds: 36 | Key: 21212121212121212121212121212121
Fixed Point: 4113441f4113441f4113441f4113441f | Rounds: 39 | Key: 21212121212121212121212121212121
Fixed Point: 24242424242424242424242424242424 | Rounds: 45 | Key: 21212121212121212121212121212121
Fixed Point: 28282828282828282828282828282828 | Rounds: 43 | Key: 21212121212121212121212121212121
Fixed Point: 2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a | Rounds: 18 | Key: 21212121212121212121212121212121
Fixed Point: a4dc0a2ea4dc0a2ea4dc0a2ea4dc0a2e | Rounds: 37 | Key: 21212121212121212121212121212121
Fixed Point: 2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e | Rounds: 4 | Key: 21212121212121212121212121212121
Fixed Point: d276ac2ed276ac2ed276ac2ed276ac2e | Rounds: 7 | Key: 21212121212121212121212121212121
Fixed Point: 2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f | Rounds: 36 | Key: 21212121212121212121212121212121
Fixed Point: 7e317e317e317e317e317e317e317e31 | Rounds: 32 | Key: 21212121212121212121212121212121
Fixed Point: 01340134013401340134013401340134 | Rounds: 49 | Key: 21212121212121212121212121212121
Fixed Point: 09370937093709370937093709370937 | Rounds: 12 | Key: 21212121212121212121212121212121
Fixed Point: 38383838383838383838383838383838 | Rounds: 44 | Key: 21212121212121212121212121212121
Fixed Point: b438b438b438b438b438b438b438b438 | Rounds: 4 | Key: 21212121212121212121212121212121
Fixed Point: 10b70e3c10b70e3c10b70e3c10b70e3c | Rounds: 39 | Key: 21212121212121212121212121212121
Fixed Point: 3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d | Rounds: 46 | Key: 21212121212121212121212121212121
Fixed Point: 973e973e973e973e973e973e973e973e | Rounds: 35 | Key: 21212121212121212121212121212121
Fixed Point: 13441f4113441f4113441f4113441f41 | Rounds: 39 | Key: 21212121212121212121212121212121
Fixed Point: a942a942a942a942a942a942a942a942 | Rounds: 46 | Key: 21212121212121212121212121212121
Fixed Point: 1f4113441f4113441f4113441f411344 | Rounds: 39 | Key: 21212121212121212121212121212121
Fixed Point: 45454545454545454545454545454545 | Rounds: 8 | Key: 21212121212121212121212121212121
Fixed Point: 46464646464646464646464646464646 | Rounds: 34 | Key: 21212121212121212121212121212121
Fixed Point: 6c476c476c476c476c476c476c476c47 | Rounds: 15 | Key: 21212121212121212121212121212121
Fixed Point: 644a644a644a644a644a644a644a644a | Rounds: 28 | Key: 21212121212121212121212121212121
Fixed Point: 0b9bb54a0b9bb54a0b9bb54a0b9bb54a | Rounds: 40 | Key: 21212121212121212121212121212121
Fixed Point: 5a4d5a4d5a4d5a4d5a4d5a4d5a4d5a4d | Rounds: 18 | Key: 21212121212121212121212121212121
Fixed Point: f14ef14ef14ef14ef14ef14ef14ef14e | Rounds: 6 | Key: 21212121212121212121212121212121
Fixed Point: 50505050505050505050505050505050 | Rounds: 32 | Key: 21212121212121212121212121212121
Fixed Point: 4d5a4d5a4d5a4d5a4d5a4d5a4d5a4d5a | Rounds: 18 | Key: 21212121212121212121212121212121
Fixed Point: 61616161616161616161616161616161 | Rounds: 10 | Key: 21212121212121212121212121212121
Fixed Point: 63636363636363636363636363636363 | Rounds: 3 | Key: 21212121212121212121212121212121
Fixed Point: 4a644a644a644a644a644a644a644a64 | Rounds: 28 | Key: 21212121212121212121212121212121
Fixed Point: 6c6a6c6a6c6a6c6a6c6a6c6a6c6a6c6a | Rounds: 27 | Key: 21212121212121212121212121212121
