Fixed Point: 8687fa5d8687fa5d8687fa5d8687fa5d | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: 1ea3bd5e1ea3bd5e1ea3bd5e1ea3bd5e | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: 64e8745f64e8745f64e8745f64e8745f | Rounds: 40 | Key: 80808080808080808080808080808080
Fixed Point: b25fb25fb25fb25fb25fb25fb25fb25f | Rounds: 35 | Key: 80808080808080808080808080808080
Fixed Point: 60606060606060606060606060606060 | Rounds: 27 | Key: 80808080808080808080808080808080
Fixed Point: 497d0e62497d0e62497d0e62497d0e62 | Rounds: 40 | Key: 80808080808080808080808080808080
Fixed Point: 83b3666283b3666283b3666283b36662 | Rounds: 40 | Key: 80808080808080808080808080808080
Fixed Point: 0c630c630c630c630c630c630c630c63 | Rounds: 20 | Key: 80808080808080808080808080808080
Fixed Point: 97b89d6397b89d6397b89d6397b89d63 | Rounds: 40 | Key: 80808080808080808080808080808080
Fixed Point: e8745f64e8745f64e8745f64e8745f64 | Rounds: 40 | Key: 80808080808080808080808080808080
Fixed Point: 64646464646464646464646464646464 | Rounds: 3 | Key: 80808080808080808080808080808080
Fixed Point: da64da64da64da64da64da64da64da64 | Rounds: 17 | Key: 80808080808080808080808080808080
Fixed Point: dd587d65dd587d65dd587d65dd587d65 | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: 99659965996599659965996599659965 | Rounds: 33 | Key: 80808080808080808080808080808080
Fixed Point: 38e7c56538e7c56538e7c56538e7c565 | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: 6283b3666283b3666283b3666283b366 | Rounds: 40 | Key: 80808080808080808080808080808080
Fixed Point: 67676767676767676767676767676767 | Rounds: 44 | Key: 80808080808080808080808080808080
Fixed Point: d8697467d8697467d8697467d8697467 | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: e567e567e567e567e567e567e567e567 | Rounds: 4 | Key: 80808080808080808080808080808080
Fixed Point: 69696969696969696969696969696969 | Rounds: 44 | Key: 80808080808080808080808080808080
