Fixed Point: 3d773d773d773d773d773d773d773d77 | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 4d7a4d7a4d7a4d7a4d7a4d7a4d7a4d7a | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: 537a537a537a537a537a537a537a537a | Rounds: 10 | Key: 48484848484848484848484848484848
Fixed Point: 037c037c037c037c037c037c037c037c | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 1b7c1b7c1b7c1b7c1b7c1b7c1b7c1b7c | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: 5f7d5f7d5f7d5f7d5f7d5f7d5f7d5f7d | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: 7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d | Rounds: 35 | Key: 48484848484848484848484848484848
Fixed Point: d27dd27dd27dd27dd27dd27dd27dd27d | Rounds: 22 | Key: 48484848484848484848484848484848
Fixed Point: df7ddf7ddf7ddf7ddf7ddf7ddf7ddf7d | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: 18811881188118811881188118811881 | Rounds: 22 | Key: 48484848484848484848484848484848
Fixed Point: 81818181818181818181818181818181 | Rounds: 35 | Key: 48484848484848484848484848484848
Fixed Point: 87818781878187818781878187818781 | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: 3d823d823d823d823d823d823d823d82 | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: ba82ba82ba82ba82ba82ba82ba82ba82 | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: 03830383038303830383038303830383 | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: e796be85e796be85e796be85e796be85 | Rounds: 2 | Key: 48484848484848484848484848484848
Fixed Point: 63866386638663866386638663866386 | Rounds: 22 | Key: 48484848484848484848484848484848
Fixed Point: 2a872a872a872a872a872a872a872a87 | Rounds: 26 | Key: 48484848484848484848484848484848
Fixed Point: ffe64e87ffe64e87ffe64e87ffe64e87 | Rounds: 24 | Key: 48484848484848484848484848484848
Fixed Point: 81878187818781878187818781878187 | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: 87878787878787878787878787878787 | Rounds: 2 | Key: 48484848484848484848484848484848
Fixed Point: 6a8a6a8a6a8a6a8a6a8a6a8a6a8a6a8a | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: 392c158b392c158b392c158b392c158b | Rounds: 24 | Key: 48484848484848484848484848484848
Fixed Point: 768c768c768c768c768c768c768c768c | Rounds: 26 | Key: 48484848484848484848484848484848
Fixed Point: 698e698e698e698e698e698e698e698e | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: b08eb08eb08eb08eb08eb08eb08eb08e | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: e58ee58ee58ee58ee58ee58ee58ee58e | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 8f8f8f8f8f8f8f8f8f8f8f8f8f8f8f8f | Rounds: 35 | Key: 48484848484848484848484848484848
Fixed Point: a490a490a490a490a490a490a490a490 | Rounds: 10 | Key: 48484848484848484848484848484848
Fixed Point: 06910691069106910691069106910691 | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: b891b891b891b891b891b891b891b891 | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: 3f923f923f923f923f923f923f923f92 | Rounds: 26 | Key: 48484848484848484848484848484848
Fixed Point: 6b926b926b926b926b926b926b926b92 | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 73937393739373937393739373937393 | Rounds: 26 | Key: 48484848484848484848484848484848
Fixed Point: c894c894c894c894c894c894c894c894 | Rounds: 26 | Key: 48484848484848484848484848484848
Fixed Point: be85e796be85e796be85e796be85e796 | Rounds: 2 | Key: 48484848484848484848484848484848
Fixed Point: b899b899b899b899b899b899b899b899 | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: a9e4e999a9e4e999a9e4e999a9e4e999 | Rounds: 2 | Key: 48484848484848484848484848484848
Fixed Point: 6ede2c9b6ede2c9b6ede2c9b6ede2c9b | Rounds: 24 | Key: 48484848484848484848484848484848
Fixed Point: 9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b | Rounds: 8 | Key: 48484848484848484848484848484848
Fixed Point: 9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d | Rounds: 35 | Key: 48484848484848484848484848484848
Fixed Point: 1ca01ca01ca01ca01ca01ca01ca01ca0 | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: 2ea02ea02ea02ea02ea02ea02ea02ea0 | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: 52a052a052a052a052a052a052a052a0 | Rounds: 26 | Key: 48484848484848484848484848484848
Fixed Point: afa0afa0afa0afa0afa0afa0afa0afa0 | Rounds: 22 | Key: 48484848484848484848484848484848
Fixed Point: c2a0c2a0c2a0c2a0c2a0c2a0c2a0c2a0 | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: 1da11da11da11da11da11da11da11da1 | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 43a845a243a845a243a845a243a845a2 | Rounds: 12 | Key: 48484848484848484848484848484848
Fixed Point: 90a490a490a490a490a490a490a490a4 | Rounds: 10 | Key: 48484848484848484848484848484848
Fixed Point: a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5 | Rounds: 35 | Key: 48484848484848484848484848484848
Fixed Point: 05a705a705a705a705a705a705a705a7 | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: 45a243a845a243a845a243a845a243a8 | Rounds: 12 | Key: 48484848484848484848484848484848
Fixed Point: c6a8c6a8c6a8c6a8c6a8c6a8c6a8c6a8 | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: e4e999a9e4e999a9e4e999a9e4e999a9 | Rounds: 2 | Key: 48484848484848484848484848484848
Fixed Point: a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9 | Rounds: 8 | Key: 48484848484848484848484848484848
Fixed Point: aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa | Rounds: 35 | Key: 48484848484848484848484848484848
Fixed Point: 023ebcaa023ebcaa023ebcaa023ebcaa | Rounds: 12 | Key: 48484848484848484848484848484848
Fixed Point: acacacacacacacacacacacacacacacac | Rounds: 35 | Key: 48484848484848484848484848484848
Fixed Point: aeaeaeaeaeaeaeaeaeaeaeaeaeaeaeae | Rounds: 35 | Key: 48484848484848484848484848484848
Fixed Point: a0afa0afa0afa0afa0afa0afa0afa0af | Rounds: 22 | Key: 48484848484848484848484848484848
Fixed Point: afafafafafafafafafafafafafafafaf | Rounds: 35 | Key: 48484848484848484848484848484848
Fixed Point: 8eb08eb08eb08eb08eb08eb08eb08eb0 | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0 | Rounds: 35 | Key: 48484848484848484848484848484848
Fixed Point: 58b158b158b158b158b158b158b158b1 | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: ceb2ceb2ceb2ceb2ceb2ceb2ceb2ceb2 | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: 00b400b400b400b400b400b400b400b4 | Rounds: 26 | Key: 48484848484848484848484848484848
Fixed Point: 67b467b467b467b467b467b467b467b4 | Rounds: 26 | Key: 48484848484848484848484848484848
Fixed Point: 6ab46ab46ab46ab46ab46ab46ab46ab4 | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 75b475b475b475b475b475b475b475b4 | Rounds: 22 | Key: 48484848484848484848484848484848
Fixed Point: b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5 | Rounds: 35 | Key: 48484848484848484848484848484848
Fixed Point: 2f6a14b62f6a14b62f6a14b62f6a14b6 | Rounds: 24 | Key: 48484848484848484848484848484848
Fixed Point: 42b642b642b642b642b642b642b642b6 | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: 48b648b648b648b648b648b648b648b6 | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 14b714b714b714b714b714b714b714b7 | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: fdd53fb7fdd53fb7fdd53fb7fdd53fb7 | Rounds: 24 | Key: 48484848484848484848484848484848
Fixed Point: b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7 | Rounds: 35 | Key: 48484848484848484848484848484848
Fixed Point: 91b891b891b891b891b891b891b891b8 | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: 99b899b899b899b899b899b899b899b8 | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 3bb93bb93bb93bb93bb93bb93bb93bb9 | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 82ba82ba82ba82ba82ba82ba82ba82ba | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: 1dbc1dbc1dbc1dbc1dbc1dbc1dbc1dbc | Rounds: 22 | Key: 48484848484848484848484848484848
Fixed Point: aa023ebcaa023ebcaa023ebcaa023ebc | Rounds: 12 | Key: 48484848484848484848484848484848
Fixed Point: 12bd12bd12bd12bd12bd12bd12bd12bd | Rounds: 10 | Key: 48484848484848484848484848484848
Fixed Point: 754502be754502be754502be754502be | Rounds: 12 | Key: 48484848484848484848484848484848
Fixed Point: 85e796be85e796be85e796be85e796be | Rounds: 2 | Key: 48484848484848484848484848484848
Fixed Point: 11c011c011c011c011c011c011c011c0 | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: 4fc04fc04fc04fc04fc04fc04fc04fc0 | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 31c131c131c131c131c131c131c131c1 | Rounds: 26 | Key: 48484848484848484848484848484848
Fixed Point: a0c2a0c2a0c2a0c2a0c2a0c2a0c2a0c2 | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: a8c6a8c6a8c6a8c6a8c6a8c6a8c6a8c6 | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 94c894c894c894c894c894c894c894c8 | Rounds: 26 | Key: 48484848484848484848484848484848
Fixed Point: 0aca0aca0aca0aca0aca0aca0aca0aca | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 14cb14cb14cb14cb14cb14cb14cb14cb | Rounds: 22 | Key: 48484848484848484848484848484848
Fixed Point: fccbfccbfccbfccbfccbfccbfccbfccb | Rounds: 10 | Key: 48484848484848484848484848484848
Fixed Point: 56cd56cd56cd56cd56cd56cd56cd56cd | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: cdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcd | Rounds: 35 | Key: 48484848484848484848484848484848
Fixed Point: 1ace1ace1ace1ace1ace1ace1ace1ace | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: b2ceb2ceb2ceb2ceb2ceb2ceb2ceb2ce | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: 24cf24cf24cf24cf24cf24cf24cf24cf | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 61cf61cf61cf61cf61cf61cf61cf61cf | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 02d002d002d002d002d002d002d002d0 | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 026213d0026213d0026213d0026213d0 | Rounds: 24 | Key: 48484848484848484848484848484848
Fixed Point: efd0efd0efd0efd0efd0efd0efd0efd0 | Rounds: 22 | Key: 48484848484848484848484848484848
Fixed Point: 10d210d210d210d210d210d210d210d2 | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 7dd27dd27dd27dd27dd27dd27dd27dd2 | Rounds: 22 | Key: 48484848484848484848484848484848
