Fixed Point: b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4 | Rounds: 17 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: e7b4e7b4e7b4e7b4e7b4e7b4e7b4e7b4 | Rounds: 18 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9 | Rounds: 27 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 977a5dbb977a5dbb977a5dbb977a5dbb | Rounds: 3 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: b2bbb2bbb2bbb2bbb2bbb2bbb2bbb2bb | Rounds: 14 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 1f6e4ebe1f6e4ebe1f6e4ebe1f6e4ebe | Rounds: 50 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: f8bef8bef8bef8bef8bef8bef8bef8be | Rounds: 46 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 4e1e6fbf4e1e6fbf4e1e6fbf4e1e6fbf | Rounds: 19 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: c7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c7 | Rounds: 37 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: f3caf3caf3caf3caf3caf3caf3caf3ca | Rounds: 31 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: cfcfcfcfcfcfcfcfcfcfcfcfcfcfcfcf | Rounds: 46 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: d6d0d6d0d6d0d6d0d6d0d6d0d6d0d6d0 | Rounds: 38 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1 | Rounds: 31 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 4cd34cd34cd34cd34cd34cd34cd34cd3 | Rounds: 24 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 08d508d508d508d508d508d508d508d5 | Rounds: 37 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: d0d6d0d6d0d6d0d6d0d6d0d6d0d6d0d6 | Rounds: 38 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
