Fixed Point: 17a0406e17a0406e17a0406e17a0406e | Rounds: 2 | Key: 20202020202020202020202020202020
Fixed Point: 7b1a426e7b1a426e7b1a426e7b1a426e | Rounds: 40 | Key: 20202020202020202020202020202020
Fixed Point: 76b5696e76b5696e76b5696e76b5696e | Rounds: 20 | Key: 20202020202020202020202020202020
Fixed Point: 1d701d701d701d701d701d701d701d70 | Rounds: 11 | Key: 20202020202020202020202020202020
Fixed Point: 58715871587158715871587158715871 | Rounds: 43 | Key: 20202020202020202020202020202020
Fixed Point: 21e3f67121e3f67121e3f67121e3f671 | Rounds: 20 | Key: 20202020202020202020202020202020
Fixed Point: 73737373737373737373737373737373 | Rounds: 11 | Key: 20202020202020202020202020202020
Fixed Point: a973a973a973a973a973a973a973a973 | Rounds: 23 | Key: 20202020202020202020202020202020
Fixed Point: ac73ac73ac73ac73ac73ac73ac73ac73 | Rounds: 4 | Key: 20202020202020202020202020202020
Fixed Point: e373e373e373e373e373e373e373e373 | Rounds: 43 | Key: 20202020202020202020202020202020
Fixed Point: 05740574057405740574057405740574 | Rounds: 23 | Key: 20202020202020202020202020202020
Fixed Point: 18741874187418741874187418741874 | Rounds: 11 | Key: 20202020202020202020202020202020
Fixed Point: 74747474747474747474747474747474 | Rounds: 11 | Key: 20202020202020202020202020202020
Fixed Point: 80758075807580758075807580758075 | Rounds: 11 | Key: 20202020202020202020202020202020
Fixed Point: b5696e76b5696e76b5696e76b5696e76 | Rounds: 20 | Key: 20202020202020202020202020202020
Fixed Point: 8f98e7768f98e7768f98e7768f98e776 | Rounds: 2 | Key: 20202020202020202020202020202020
Fixed Point: 45488078454880784548807845488078 | Rounds: 40 | Key: 20202020202020202020202020202020
Fixed Point: 31793179317931793179317931793179 | Rounds: 23 | Key: 20202020202020202020202020202020
Fixed Point: 147a147a147a147a147a147a147a147a | Rounds: 23 | Key: 20202020202020202020202020202020
Fixed Point: 557a557a557a557a557a557a557a557a | Rounds: 23 | Key: 20202020202020202020202020202020
Fixed Point: f97af97af97af97af97af97af97af97a | Rounds: 43 | Key: 20202020202020202020202020202020
Fixed Point: 6a7b6a7b6a7b6a7b6a7b6a7b6a7b6a7b | Rounds: 43 | Key: 20202020202020202020202020202020
Fixed Point: 6c7b6c7b6c7b6c7b6c7b6c7b6c7b6c7b | Rounds: 23 | Key: 20202020202020202020202020202020
Fixed Point: 1a426e7b1a426e7b1a426e7b1a426e7b | Rounds: 40 | Key: 20202020202020202020202020202020
Fixed Point: aa7baa7baa7baa7baa7baa7baa7baa7b | Rounds: 26 | Key: 20202020202020202020202020202020
Fixed Point: 3f7c3f7c3f7c3f7c3f7c3f7c3f7c3f7c | Rounds: 43 | Key: 20202020202020202020202020202020
Fixed Point: f57cf57cf57cf57cf57cf57cf57cf57c | Rounds: 43 | Key: 20202020202020202020202020202020
Fixed Point: 347d347d347d347d347d347d347d347d | Rounds: 26 | Key: 20202020202020202020202020202020
Fixed Point: e97de97de97de97de97de97de97de97d | Rounds: 23 | Key: 20202020202020202020202020202020
Fixed Point: 52371380523713805237138052371380 | Rounds: 40 | Key: 20202020202020202020202020202020
Fixed Point: 78454880784548807845488078454880 | Rounds: 40 | Key: 20202020202020202020202020202020
Fixed Point: 75807580758075807580758075807580 | Rounds: 11 | Key: 20202020202020202020202020202020
Fixed Point: 81818181818181818181818181818181 | Rounds: 4 | Key: 20202020202020202020202020202020
Fixed Point: 32823282328232823282328232823282 | Rounds: 43 | Key: 20202020202020202020202020202020
Fixed Point: 5f825f825f825f825f825f825f825f82 | Rounds: 43 | Key: 20202020202020202020202020202020
Fixed Point: 0a850a850a850a850a850a850a850a85 | Rounds: 26 | Key: 20202020202020202020202020202020
Fixed Point: 68856885688568856885688568856885 | Rounds: 26 | Key: 20202020202020202020202020202020
Fixed Point: 35ef9e8535ef9e8535ef9e8535ef9e85 | Rounds: 16 | Key: 20202020202020202020202020202020
Fixed Point: f285f285f285f285f285f285f285f285 | Rounds: 43 | Key: 20202020202020202020202020202020
Fixed Point: 16881688168816881688168816881688 | Rounds: 43 | Key: 20202020202020202020202020202020
Fixed Point: 958b958b958b958b958b958b958b958b | Rounds: 43 | Key: 20202020202020202020202020202020
Fixed Point: f28cf28cf28cf28cf28cf28cf28cf28c | Rounds: 26 | Key: 20202020202020202020202020202020
Fixed Point: 008d008d008d008d008d008d008d008d | Rounds: 26 | Key: 20202020202020202020202020202020
Fixed Point: 938d938d938d938d938d938d938d938d | Rounds: 4 | Key: 20202020202020202020202020202020
Fixed Point: 449bbb8d449bbb8d449bbb8d449bbb8d | Rounds: 20 | Key: 20202020202020202020202020202020
Fixed Point: d38dd38dd38dd38dd38dd38dd38dd38d | Rounds: 23 | Key: 20202020202020202020202020202020
Fixed Point: de8ede8ede8ede8ede8ede8ede8ede8e | Rounds: 23 | Key: 20202020202020202020202020202020
Fixed Point: 98e7768f98e7768f98e7768f98e7768f | Rounds: 2 | Key: 20202020202020202020202020202020
Fixed Point: 4c904c904c904c904c904c904c904c90 | Rounds: 43 | Key: 20202020202020202020202020202020
Fixed Point: b690b690b690b690b690b690b690b690 | Rounds: 23 | Key: 20202020202020202020202020202020
Fixed Point: 12911291129112911291129112911291 | Rounds: 23 | Key: 20202020202020202020202020202020
Fixed Point: 13911391139113911391139113911391 | Rounds: 4 | Key: 20202020202020202020202020202020
Fixed Point: 40126791401267914012679140126791 | Rounds: 20 | Key: 20202020202020202020202020202020
Fixed Point: dd91dd91dd91dd91dd91dd91dd91dd91 | Rounds: 26 | Key: 20202020202020202020202020202020
Fixed Point: 0c4bf3910c4bf3910c4bf3910c4bf391 | Rounds: 16 | Key: 20202020202020202020202020202020
Fixed Point: 2e922e922e922e922e922e922e922e92 | Rounds: 43 | Key: 20202020202020202020202020202020
Fixed Point: e392e392e392e392e392e392e392e392 | Rounds: 23 | Key: 20202020202020202020202020202020
Fixed Point: 8d938d938d938d938d938d938d938d93 | Rounds: 4 | Key: 20202020202020202020202020202020
Fixed Point: ed93ed93ed93ed93ed93ed93ed93ed93 | Rounds: 43 | Key: 20202020202020202020202020202020
Fixed Point: 8b958b958b958b958b958b958b958b95 | Rounds: 43 | Key: 20202020202020202020202020202020
Fixed Point: d595d595d595d595d595d595d595d595 | Rounds: 43 | Key: 20202020202020202020202020202020
Fixed Point: 1e971e971e971e971e971e971e971e97 | Rounds: 23 | Key: 20202020202020202020202020202020
Fixed Point: ee97ee97ee97ee97ee97ee97ee97ee97 | Rounds: 4 | Key: 20202020202020202020202020202020
Fixed Point: e7768f98e7768f98e7768f98e7768f98 | Rounds: 2 | Key: 20202020202020202020202020202020
Fixed Point: df98df98df98df98df98df98df98df98 | Rounds: 23 | Key: 20202020202020202020202020202020
Fixed Point: b54bac99b54bac99b54bac99b54bac99 | Rounds: 16 | Key: 20202020202020202020202020202020
Fixed Point: dd60f199dd60f199dd60f199dd60f199 | Rounds: 16 | Key: 20202020202020202020202020202020
Fixed Point: b632139ab632139ab632139ab632139a | Rounds: 20 | Key: 20202020202020202020202020202020
Fixed Point: 429a429a429a429a429a429a429a429a | Rounds: 23 | Key: 20202020202020202020202020202020
Fixed Point: ba9aba9aba9aba9aba9aba9aba9aba9a | Rounds: 23 | Key: 20202020202020202020202020202020
Fixed Point: bb8d449bbb8d449bbb8d449bbb8d449b | Rounds: 20 | Key: 20202020202020202020202020202020
Fixed Point: c49bc49bc49bc49bc49bc49bc49bc49b | Rounds: 23 | Key: 20202020202020202020202020202020
Fixed Point: d29bd29bd29bd29bd29bd29bd29bd29b | Rounds: 43 | Key: 20202020202020202020202020202020
