Fixed Point: 27d927d927d927d927d927d927d927d9 | Rounds: 6 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: a5daa5daa5daa5daa5daa5daa5daa5da | Rounds: 4 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: dadadadadadadadadadadadadadadada | Rounds: 10 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: c1dcc1dcc1dcc1dcc1dcc1dcc1dcc1dc | Rounds: 6 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 4d3be6de4d3be6de4d3be6de4d3be6de | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 705127e2705127e2705127e2705127e2 | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 718f35e4718f35e4718f35e4718f35e4 | Rounds: 4 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: de4d3be6de4d3be6de4d3be6de4d3be6 | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6 | Rounds: 5 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: ebebebebebebebebebebebebebebebeb | Rounds: 17 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 9aec9aec9aec9aec9aec9aec9aec9aec | Rounds: 2 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: edededededededededededededededed | Rounds: 1 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: f73aaceef73aaceef73aaceef73aacee | Rounds: 24 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: efefefefefefefefefefefefefefefef | Rounds: 10 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 038c38f1038c38f1038c38f1038c38f1 | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 7e03b5f27e03b5f27e03b5f27e03b5f2 | Rounds: 24 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 8754cbf28754cbf28754cbf28754cbf2 | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: c00d5cf5c00d5cf5c00d5cf5c00d5cf5 | Rounds: 24 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6 | Rounds: 17 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 3aaceef73aaceef73aaceef73aaceef7 | Rounds: 24 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7 | Rounds: 17 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: fafafafafafafafafafafafafafafafa | Rounds: 17 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 96c8bdfd96c8bdfd96c8bdfd96c8bdfd | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: ca03ca03ca03ca03ca03ca03ca03ca03 | Rounds: 29 | Key: b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
Fixed Point: 17041704170417041704170417041704 | Rounds: 16 | Key: b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
Fixed Point: e404e404e404e404e404e404e404e404 | Rounds: 29 | Key: b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
Fixed Point: ad4d9c07ad4d9c07ad4d9c07ad4d9c07 | Rounds: 14 | Key: b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
Fixed Point: 08080808080808080808080808080808 | Rounds: 10 | Key: b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
Fixed Point: b30bb30bb30bb30bb30bb30bb30bb30b | Rounds: 29 | Key: b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
Fixed Point: 300e300e300e300e300e300e300e300e | Rounds: 29 | Key: b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
Fixed Point: 4d114d114d114d114d114d114d114d11 | Rounds: 16 | Key: b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
Fixed Point: 14141414141414141414141414141414 | Rounds: 7 | Key: b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
Fixed Point: 2fde4c142fde4c142fde4c142fde4c14 | Rounds: 14 | Key: b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
Fixed Point: 66146614661466146614661466146614 | Rounds: 29 | Key: b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
Fixed Point: 04170417041704170417041704170417 | Rounds: 16 | Key: b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
Fixed Point: f65d6717f65d6717f65d6717f65d6717 | Rounds: 14 | Key: b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
Fixed Point: 18181818181818181818181818181818 | Rounds: 7 | Key: b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
Fixed Point: 601b601b601b601b601b601b601b601b | Rounds: 16 | Key: b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
Fixed Point: 1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d | Rounds: 1 | Key: b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
Fixed Point: 1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e | Rounds: 10 | Key: b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
Fixed Point: 581e581e581e581e581e581e581e581e | Rounds: 29 | Key: b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
Fixed Point: 419e951f419e951f419e951f419e951f | Rounds: 14 | Key: b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
Fixed Point: 44234423442344234423442344234423 | Rounds: 29 | Key: b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
Fixed Point: 7f237f237f237f237f237f237f237f23 | Rounds: 29 | Key: b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
Fixed Point: 6e2a6e2a6e2a6e2a6e2a6e2a6e2a6e2a | Rounds: 29 | Key: b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
Fixed Point: 2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d | Rounds: 10 | Key: b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
Fixed Point: 932e932e932e932e932e932e932e932e | Rounds: 29 | Key: b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
Fixed Point: de4c142fde4c142fde4c142fde4c142f | Rounds: 14 | Key: b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
Fixed Point: 0e300e300e300e300e300e300e300e30 | Rounds: 29 | Key: b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
Fixed Point: 71377137713771377137713771377137 | Rounds: 16 | Key: b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
Fixed Point: b1ad4d3cb1ad4d3cb1ad4d3cb1ad4d3c | Rounds: 14 | Key: b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
Fixed Point: 9d53923e9d53923e9d53923e9d53923e | Rounds: 14 | Key: b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
Fixed Point: d640d640d640d640d640d640d640d640 | Rounds: 29 | Key: b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
Fixed Point: 9e951f419e951f419e951f419e951f41 | Rounds: 14 | Key: b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
Fixed Point: 43434343434343434343434343434343 | Rounds: 7 | Key: b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
Fixed Point: 23442344234423442344234423442344 | Rounds: 29 | Key: b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
Fixed Point: 84448444844484448444844484448444 | Rounds: 29 | Key: b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
Fixed Point: 5986d4455986d4455986d4455986d445 | Rounds: 14 | Key: b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
Fixed Point: a449a449a449a449a449a449a449a449 | Rounds: 29 | Key: b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
Fixed Point: 142fde4c142fde4c142fde4c142fde4c | Rounds: 14 | Key: b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
Fixed Point: 114d114d114d114d114d114d114d114d | Rounds: 16 | Key: b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
Fixed Point: 4f4d4f4d4f4d4f4d4f4d4f4d4f4d4f4d | Rounds: 16 | Key: b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
