Fixed Point: bbbfbbbfbbbfbbbfbbbfbbbfbbbfbbbf | Rounds: 21 | Key: 08080808080808080808080808080808
Fixed Point: 8486eabf8486eabf8486eabf8486eabf | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0 | Rounds: 12 | Key: 08080808080808080808080808080808
Fixed Point: ee48cac0ee48cac0ee48cac0ee48cac0 | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: 1ebbccc11ebbccc11ebbccc11ebbccc1 | Rounds: 20 | Key: 08080808080808080808080808080808
Fixed Point: c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2 | Rounds: 19 | Key: 08080808080808080808080808080808
Fixed Point: f279dcc3f279dcc3f279dcc3f279dcc3 | Rounds: 20 | Key: 08080808080808080808080808080808
Fixed Point: 5deef5c35deef5c35deef5c35deef5c3 | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: a34e87c5a34e87c5a34e87c5a34e87c5 | Rounds: 20 | Key: 08080808080808080808080808080808
Fixed Point: c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5 | Rounds: 19 | Key: 08080808080808080808080808080808
Fixed Point: c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6 | Rounds: 19 | Key: 08080808080808080808080808080808
Fixed Point: f96b29c7f96b29c7f96b29c7f96b29c7 | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: 3bc83bc83bc83bc83bc83bc83bc83bc8 | Rounds: 21 | Key: 08080808080808080808080808080808
Fixed Point: 4e200bc94e200bc94e200bc94e200bc9 | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: b6d54ac9b6d54ac9b6d54ac9b6d54ac9 | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: c0ee48cac0ee48cac0ee48cac0ee48ca | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: 86ca86ca86ca86ca86ca86ca86ca86ca | Rounds: 21 | Key: 08080808080808080808080808080808
Fixed Point: cfcacfcacfcacfcacfcacfcacfcacfca | Rounds: 6 | Key: 08080808080808080808080808080808
Fixed Point: cbcbcbcbcbcbcbcbcbcbcbcbcbcbcbcb | Rounds: 5 | Key: 08080808080808080808080808080808
Fixed Point: 77cc77cc77cc77cc77cc77cc77cc77cc | Rounds: 6 | Key: 08080808080808080808080808080808
Fixed Point: 0e4b92cc0e4b92cc0e4b92cc0e4b92cc | Rounds: 6 | Key: 08080808080808080808080808080808
Fixed Point: c11ebbccc11ebbccc11ebbccc11ebbcc | Rounds: 20 | Key: 08080808080808080808080808080808
Fixed Point: 2ea652cd2ea652cd2ea652cd2ea652cd | Rounds: 20 | Key: 08080808080808080808080808080808
Fixed Point: 5fcf5fcf5fcf5fcf5fcf5fcf5fcf5fcf | Rounds: 21 | Key: 08080808080808080808080808080808
Fixed Point: fa108ecffa108ecffa108ecffa108ecf | Rounds: 20 | Key: 08080808080808080808080808080808
Fixed Point: cacfcacfcacfcacfcacfcacfcacfcacf | Rounds: 6 | Key: 08080808080808080808080808080808
Fixed Point: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0 | Rounds: 19 | Key: 08080808080808080808080808080808
Fixed Point: 35d335d335d335d335d335d335d335d3 | Rounds: 21 | Key: 08080808080808080808080808080808
Fixed Point: d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3 | Rounds: 19 | Key: 08080808080808080808080808080808
Fixed Point: f5d3f5d3f5d3f5d3f5d3f5d3f5d3f5d3 | Rounds: 21 | Key: 08080808080808080808080808080808
Fixed Point: 713e40d5713e40d5713e40d5713e40d5 | Rounds: 6 | Key: 08080808080808080808080808080808
Fixed Point: 4ac9b6d54ac9b6d54ac9b6d54ac9b6d5 | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8 | Rounds: 12 | Key: 08080808080808080808080808080808
Fixed Point: 90647bda90647bda90647bda90647bda | Rounds: 2 | Key: 08080808080808080808080808080808
Fixed Point: dbdbdbdbdbdbdbdbdbdbdbdbdbdbdbdb | Rounds: 12 | Key: 08080808080808080808080808080808
Fixed Point: c3f279dcc3f279dcc3f279dcc3f279dc | Rounds: 20 | Key: 08080808080808080808080808080808
Fixed Point: 3ddf3ddf3ddf3ddf3ddf3ddf3ddf3ddf | Rounds: 21 | Key: 08080808080808080808080808080808
Fixed Point: 684952e4684952e4684952e4684952e4 | Rounds: 20 | Key: 08080808080808080808080808080808
Fixed Point: 21ba5ce721ba5ce721ba5ce721ba5ce7 | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: bf8486eabf8486eabf8486eabf8486ea | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: 8bec8bec8bec8bec8bec8bec8bec8bec | Rounds: 21 | Key: 08080808080808080808080808080808
Fixed Point: ecececececececececececececececec | Rounds: 19 | Key: 08080808080808080808080808080808
Fixed Point: edededededededededededededededed | Rounds: 11 | Key: 08080808080808080808080808080808
Fixed Point: f5c35deef5c35deef5c35deef5c35dee | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: 48cac0ee48cac0ee48cac0ee48cac0ee | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: 63ef63ef63ef63ef63ef63ef63ef63ef | Rounds: 6 | Key: 08080808080808080808080808080808
Fixed Point: f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1 | Rounds: 12 | Key: 08080808080808080808080808080808
Fixed Point: ba4462f2ba4462f2ba4462f2ba4462f2 | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: 79dcc3f279dcc3f279dcc3f279dcc3f2 | Rounds: 20 | Key: 08080808080808080808080808080808
Fixed Point: f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3 | Rounds: 3 | Key: 08080808080808080808080808080808
Fixed Point: fef4fef4fef4fef4fef4fef4fef4fef4 | Rounds: 21 | Key: 08080808080808080808080808080808
Fixed Point: 451e3af5451e3af5451e3af5451e3af5 | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: 75f575f575f575f575f575f575f575f5 | Rounds: 21 | Key: 08080808080808080808080808080808
Fixed Point: a628b7f5a628b7f5a628b7f5a628b7f5 | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: d3f5d3f5d3f5d3f5d3f5d3f5d3f5d3f5 | Rounds: 21 | Key: 08080808080808080808080808080808
Fixed Point: c35deef5c35deef5c35deef5c35deef5 | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: aef7aef7aef7aef7aef7aef7aef7aef7 | Rounds: 6 | Key: 08080808080808080808080808080808
Fixed Point: f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7 | Rounds: 12 | Key: 08080808080808080808080808080808
Fixed Point: 65f865f865f865f865f865f865f865f8 | Rounds: 2 | Key: 08080808080808080808080808080808
Fixed Point: f8f8f8f8f8f8f8f8f8f8f8f8f8f8f8f8 | Rounds: 5 | Key: 08080808080808080808080808080808
Fixed Point: 6b29c7f96b29c7f96b29c7f96b29c7f9 | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: 108ecffa108ecffa108ecffa108ecffa | Rounds: 20 | Key: 08080808080808080808080808080808
Fixed Point: 8eae9afc8eae9afc8eae9afc8eae9afc | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: 463f49fe463f49fe463f49fe463f49fe | Rounds: 20 | Key: 08080808080808080808080808080808
Fixed Point: f4fef4fef4fef4fef4fef4fef4fef4fe | Rounds: 21 | Key: 08080808080808080808080808080808
Fixed Point: 3e9f24ff3e9f24ff3e9f24ff3e9f24ff | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: 46ff46ff46ff46ff46ff46ff46ff46ff | Rounds: 21 | Key: 08080808080808080808080808080808
Fixed Point: 836c8cff836c8cff836c8cff836c8cff | Rounds: 20 | Key: 08080808080808080808080808080808
